"x" "y"
"1" -0.17 17
"2" -0.85 50
"3" 0.9 322
"4" 0.21 17
"5" 0.17 29
"6" 0.18 24
"7" -0.21 13
"8" -0.14 15
"9" -0.62 33
"10" 0.91 344
"11" -0.39 19
"12" 0.74 155
"13" 0.8 210
"14" -0.33 16
"15" -0.44 18
"16" 0.35 32
"17" -0.55 23
"18" 0.64 100
"19" -0.53 22
"20" 0.75 175
"21" 0.7 130
"22" -0.49 28
"23" 0.92 399
"24" 0.93 352
"25" 0.25 31
"26" -0.36 19
"27" 0.3 23
"28" -0.75 33
"29" -0.65 28
"30" -0.95 56
"31" -0.62 26
"32" 0.67 100
"33" 0.91 356
"34" 0.89 319
"35" 0.98 548
"36" -0.2 20
"37" -0.79 38
"38" -0.41 17
"39" -0.7 28
"40" -0.87 47
"41" 0.08 23
"42" 0.46 44
"43" -0.48 18
"44" 0.13 20
"45" 0.92 360
"46" -0.79 44
"47" 0.29 40
"48" 0.97 495
"49" -0.62 18
"50" -0.79 43
